Medical specialty	Model	n	EN median [IQR]	% max EN	FR median [IQR]	% max FR
Onco-Hématologie	Llama-405B	18	17.00 [13.25;18.00]	38.9%	16.00 [11.25;17.00]	11.1%
Onco-Hématologie	BioMistral	18	8.00 [7.25;10.00]	0.0%	7.00 [4.25;8.00]	0.0%
Rhumatologie	o3	18	18.00 [17.25;18.00]	72.2%	18.00 [18.00;18.00]	77.8%
Rhumatologie	DeepSeek-R1	18	17.00 [16.00;18.00]	33.3%	14.50 [13.25;16.00]	11.1%
Rhumatologie	GPT-4	18	17.00 [16.00;17.00]	22.2%	15.50 [14.25;17.00]	0.0%
Rhumatologie	Llama-405B	18	16.00 [15.00;17.00]	22.2%	14.50 [13.00;16.75]	11.1%
Rhumatologie	BioMistral	18	7.00 [7.00;9.00]	0.0%	5.00 [0.00;8.75]	0.0%
Urologie-Néphrologie	o3	18	18.00 [18.00;18.00]	77.8%	17.00 [15.25;18.00]	38.9%
Urologie-Néphrologie	DeepSeek-R1	18	16.00 [15.00;17.75]	27.8%	14.50 [14.00;16.00]	16.7%
Urologie-Néphrologie	GPT-4	18	17.00 [15.00;18.00]	38.9%	15.00 [11.25;16.75]	16.7%
Urologie-Néphrologie	Llama-405B	18	16.00 [14.00;17.00]	16.7%	14.00 [12.25;16.75]	11.1%
Urologie-Néphrologie	BioMistral	18	9.50 [0.00;11.75]	0.0%	6.50 [0.00;8.75]	0.0%
Psychiatrie	o3	16	17.00 [16.00;18.00]	43.8%	17.50 [17.00;18.00]	50.0%
Psychiatrie	DeepSeek-R1	16	16.00 [16.00;18.00]	31.2%	16.00 [15.00;16.25]	18.8%
Psychiatrie	GPT-4	16	16.00 [14.00;17.25]	25.0%	15.00 [14.00;16.25]	6.2%
Psychiatrie	Llama-405B	16	16.00 [15.00;16.00]	12.5%	16.00 [15.00;17.00]	6.2%
Psychiatrie	BioMistral	16	4.50 [0.00;11.00]	0.0%	9.50 [8.00;10.25]	0.0%
Pédiatrie	o3	14	18.00 [16.25;18.00]	64.3%	18.00 [18.00;18.00]	78.6%
Pédiatrie	DeepSeek-R1	14	16.00 [16.00;17.00]	21.4%	15.50 [15.00;16.00]	14.3%
Pédiatrie	GPT-4	14	17.00 [14.25;17.75]	28.6%	17.00 [14.00;18.00]	42.9%
Pédiatrie	Llama-405B	14	16.00 [15.00;18.00]	42.9%	15.00 [13.00;17.00]	14.3%
Pédiatrie	BioMistral	14	10.00 [1.75;11.50]	14.3%	0.00 [0.00;5.25]	0.0%
Tête et cou	o3	14	18.00 [18.00;18.00]	78.6%	18.00 [17.00;18.00]	64.3%
Tête et cou	DeepSeek-R1	14	15.00 [11.75;16.75]	14.3%	16.00 [11.25;16.75]	14.3%
Tête et cou	GPT-4	14	17.50 [14.50;18.00]	50.0%	14.50 [11.25;17.00]	7.1%
Tête et cou	Llama-405B	14	17.00 [14.50;18.00]	35.7%	15.50 [13.50;16.75]	21.4%
Tête et cou	BioMistral	14	8.00 [7.00;12.50]	0.0%	7.00 [6.25;8.75]	0.0%
Médecine interne	o3	12	17.50 [16.00;18.00]	50.0%	17.50 [16.50;18.00]	50.0%
Médecine interne	DeepSeek-R1	12	16.50 [15.00;18.00]	33.3%	16.50 [16.00;17.25]	25.0%
Médecine interne	GPT-4	12	17.50 [16.50;18.00]	50.0%	16.50 [14.50;18.00]	33.3%
Médecine interne	Llama-405B	12	17.00 [15.75;18.00]	33.3%	14.50 [12.75;17.00]	8.3%
Médecine interne	BioMistral	12	3.00 [0.00;8.00]	0.0%	7.00 [6.50;9.00]	0.0%
